date,verse_title,phrase_indices,score,matches_woodruff,matches_scriptures,volume_title
"April 15, 1837 ",Mormon 9:29,"[(957, 2134)]",1.0,in the name of JESUS CHRIST the Son of the,in the name of Jesus Christ the Son of the,Book of Mormon
"December 20, 1850 ",Mormon 9:29,"[(19403, 2134)]",1.0,in the name of Jesus Christ the Son of the,in the name of Jesus Christ the Son of the,Book of Mormon
"January 13, 1856 ",Doctrine and Covenants 27:9,"[(12522, 2335)]",1.0,to the children and the hearts of the children to,to the children and the hearts of the children to,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,"[(17777, 3027), (17778, 3028), (17779, 3029), (17780, 3030), (17781, 3031), (17782, 3032), (17783, 3033)]",0.98572,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straitway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again Thou shall be diligent in preserving what thou hast that thou mayest be a wise steward for,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straightway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again Thou shalt be diligent in preserving what thou hast that thou mayest be a wise steward for it is the,Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 110:15,"[(8752, 2718)]",0.98207,turn the hearts of the Fathers to the children and,To turn the hearts of the fathers to the children,Doctrine and Covenants
"January 21, 1844 ",Doctrine and Covenants 110:15,"[(10708, 2718)]",0.98207,turn the hearts of the fathers to the children and,To turn the hearts of the fathers to the children,Doctrine and Covenants
"June 30, 1844 ",John 15:14,"[(7955, 1247)]",0.9787,"""ye are my friends if ye do whatsoever I command",Ye are my friends if ye do whatsoever I command you,New Testament
"June 28, 1835 ",Ezekiel 44:5,"[(3883, 988)]",0.97133,in all the ordinances of the house of the Lord,ordinances of the house of the Lord and all the,Old Testament
"July 2, 1840 ",Doctrine and Covenants 68:25,"[(7597, 2504)]",0.96448,the gift of the Holy Ghost by the laying on,and the gift of the Holy Ghost by the laying,Doctrine and Covenants
"January 21, 1847 ",Jeremiah 16:14,"[(17772, 846)]",0.96334,the children of Israel out of the Land of Egypt,up the children of Israel out of the land of Egypt,Old Testament
"January 21, 1844 ",Doctrine and Covenants 98:16,"[(10708, 2644)]",0.95619,turn the hearts of the fathers to the children and,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 98:16,"[(8752, 2644)]",0.95619,turn the hearts of the Fathers to the children and,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
